basebrgy	basehhno	basewman	BRGAY02	HHNUMB02	WOMAN02	uncmomid	MOMCH02	momlnumb	agemom	maristat	mealcode	dishprep	placprep	dishnumb	foodcode	consumed	measure
13	307	307	13	2618	307	11801	2	2	50	3	1	8	1	1	1302	0.75	6
13	307	307	13	2618	307	11801	2	2	50	3	1	8	1	1	153	1.0	2
13	307	307	13	2618	307	11801	2	2	50	3	1	7	5	2	51	2.5	4
13	307	307	13	2618	307	11801	2	2	50	3	3	1	1	1	11	0.75	1
13	307	307	13	2618	307	11801	2	2	50	3	3	1	1	2	753	1.5	3
13	307	307	13	2618	307	11801	2	2	50	3	4	7	5	1	67	2.0	4
13	307	307	13	2618	307	11801	2	2	50	3	4	8	5	2	1307	1.0	1
13	307	307	13	2618	307	11801	2	2	50	3	5	1	1	1	11	0.75	1
13	307	307	13	2618	307	11801	2	2	50	3	5	1	1	2	753	1.5	3
13	198	198	13	198	198	11733	1	2	54	2	1	1	1	1	1	1.5	1
13	198	198	13	198	198	11733	1	2	54	2	1	2	1	2	627	1.0	3
13	198	198	13	198	198	11733	1	2	54	2	1	2	1	2	1271	-9.0	-9
13	198	198	13	198	198	11733	1	2	54	2	1	1	1	3	626	1.0	3
13	198	198	13	198	198	11733	1	2	54	2	1	1	1	3	1271	-9.0	-9
13	198	198	13	198	198	11733	1	2	54	2	3	1	1	1	1	1.5	1
13	198	198	13	198	198	11733	1	2	54	2	3	1	4	2	278	0.25	1
13	198	198	13	198	198	11733	1	2	54	2	3	1	4	2	1271	-9.0	-9
13	198	198	13	198	198	11733	1	2	54	2	3	3	1	3	1009	0.25	6
13	198	198	13	198	198	11733	1	2	54	2	3	3	1	3	1271	-9.0	-9
13	198	198	13	198	198	11733	1	2	54	2	3	1	4	4	1092	0.25	1
13	198	198	13	198	198	11733	1	2	54	2	4	7	5	1	51	2.0	4
13	198	198	13	198	198	11733	1	2	54	2	4	8	1	2	1302	0.5	6
13	198	198	13	198	198	11733	1	2	54	2	4	8	1	2	153	1.0	6
13	198	198	13	198	198	11733	1	2	54	2	5	1	1	1	1	2.0	1
13	198	198	13	198	198	11733	1	2	54	2	5	4	5	2	1131	2.0	4
13	198	198	13	198	198	11733	1	2	54	2	5	3	1	3	345	0.25	1
13	198	198	13	198	198	11733	1	2	54	2	5	3	1	3	1271	-9.0	-9
13	198	198	13	198	198	11733	1	2	54	2	5	3	1	3	333	1.0	6
13	491	491	13	491	491	11960	1	2	42	2	1	1	1	1	3	1.13	1
13	491	491	13	491	491	11960	1	2	42	2	1	1	1	2	1024	0.25	1
13	491	491	13	491	491	11960	1	2	42	2	1	1	1	2	398	1.0	2
13	491	491	13	491	491	11960	1	2	42	2	1	1	1	2	425	1.0	2
13	491	491	13	491	491	11960	1	2	42	2	1	1	1	2	350	1.0	2
13	491	491	13	491	491	11960	1	2	42	2	3	1	1	1	3	1.13	1
13	491	491	13	491	491	11960	1	2	42	2	3	1	1	2	1024	0.25	1
13	491	491	13	491	491	11960	1	2	42	2	3	1	1	2	398	1.0	2
13	491	491	13	491	491	11960	1	2	42	2	3	1	1	2	425	1.0	2
13	491	491	13	491	491	11960	1	2	42	2	3	1	1	2	350	1.0	2
13	491	491	13	491	491	11960	1	2	42	2	4	7	5	1	104	10.0	4
13	491	491	13	491	491	11960	1	2	42	2	4	8	5	2	1307	1.0	1
13	491	491	13	491	491	11960	1	2	42	2	5	1	1	1	3	1.13	1
13	491	491	13	491	491	11960	1	2	42	2	5	3	2	2	1052	0.5	6
13	491	491	13	491	491	11960	1	2	42	2	5	3	2	2	363	1.0	2
13	491	491	13	491	491	11960	1	2	42	2	5	3	2	2	247	1.0	2
13	491	491	13	491	491	11960	1	2	42	2	5	3	2	2	1271	-9.0	-9
13	309	309	13	309	309	11803	1	2	37	2	0	7	5	1	51	2.0	4
